CODE,DEFINITION,Manhattan  96th St. & below,All Other Areas,
4,Vehicles parked illegally south of Houston Street in Manhattan in metered spaces reserved for buses from 7am - 7pm daily. Vehicles with bus plate types parked longer than the 3 hour maximum and/or not displaying a DOT-issued bus permit.,$115 ,,
5,Failure to make a right turn from a bus lane.,$115 ,$115 ,
6,Parking a tractor-trailer on a residential street between 9PM and 5AM.,"1st Offense - $265
2nd Offense - $515","2nd Offense - $265
2nd Offense - $515",
7,Vehicles photographed going through a red light at an intersection,$50 ,$50 ,
8,Vehicle idling in a restricted area.,$115 ,$115 ,
9,"Blocking an Intersection: Obstructing traffic at an intersection also known as ""Blocking the Box"".",$115 ,$115 ,
10,"Stopping, standing or parking where a sign, street marking, or traffic control device does not allow stopping.",$115 ,$115 ,
11,"Hotel Loading/Unloading: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",$115 ,$115 ,
12,"Snow Emergency: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",$95 ,$95 ,
13,"Taxi Stand: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",$115 ,$115 ,
14,"General No Standing: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",$115 ,$115 ,
16,"Truck Loading/Unloading: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",$95 ,$95 ,
17,"Authorized Vehicles Only: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",$95 ,$95 ,
18,"Bus Lane: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",$115 ,$115 ,
19,"Bus Stop: Standing or parking where standing is not allowed by sign, street marking or; traffic control device.",$115 ,$115 ,
20,"General No Parking: No parking where parking is not allowed by sign, street marking or traffic control device.",$65 ,$60 ,
21,"Street Cleaning: No parking where parking is not allowed by sign, street marking or traffic control device.",$65 ,$45 ,
22,"Hotel Loading/Unloading: No parking where parking is not allowed by sign, street marking or traffic control device.",$60 ,$60 ,
23,"Taxi Stand: No parking where parking is not allowed by sign, street marking or traffic control device.",$65 ,$60 ,
24,"Authorized Vehicles Only: No parking where parking is not allowed by sign, street marking or traffic control device.",$65 ,$60 ,
25,"Standing at a commuter van stop, other than temporarily for the purpose of quickly picking up or dropping off passengers.",$115 ,$115 ,
26,"Standing at a for-hire vehicle stop, other than temporarily for the purpose of quickly picking up or dropping off passengers.",$115 ,$115 ,
27,"No parking in a handicapped zone (off-street only) where parking is not allowed by sign, street marking or traffic control device (Note: Includes a $30 New York State Criminal Justice surcharge.)",$180 ,$180 ,
28,Overtime standing (diplomat),$95 ,$95 ,
31,Standing of a non-commercial vehicle in a commercial metered zone.,$115 ,$115 ,
32,Parking at a broken or missing meter for longer than the maximum time permitted.,$65 ,$35 ,
33,"""Feeding Meter"" -- parking in a metered space for a consecutive period of time longer than allowed, whether or not an additional coin or coins are deposited or another method of payment is used.",$65 ,$35 ,
34,"Expired Meter -- parking in a metered space where the meter works and the time has ended. Drivers get a 5-minute grace period past the expired time on Alternate Side Parking signs and any other parking spaces with specific times listed (i.e.. 8:30am - 9:30am). During the 5-minute grace period, parking tickets cannot be issued.",$65 ,$35 ,
35,"Parking in a meter space for the purpose of displaying, selling, storing, or offering goods for sale.",$65 ,$35 ,
37,"Muni Meter --
(37) Parking in excess of the allowed time
(38) Failing to show a receipt or tag in the windshield
Drivers get a 5-minute grace period past the expired time on Muni-Meter receipts.",$65 ,$35 ,
38,"Muni Meter --
(37) Parking in excess of the allowed time
(38) Failing to show a receipt or tag in the windshield
Drivers get a 5-minute grace period past the expired time on Muni-Meter receipts.",$65 ,$35 ,
39,"Parking for longer than the maximum time permitted by sign, street marking or traffic control device.",$65 ,$60 ,
40,"Stopping, standing or parking closer than 15 feet of a fire hydrant. Between sunrise and sunset, a passenger vehicle may stand alongside a fire hydrant as long as a driver remains behind the wheel and is ready to move the vehicle if required to do so.",$115 ,$115 ,
42,Parking in a Muni Metered space in a commercial metered zone in which that Muni Meter is working and indicates the time has ended.,$65 ,$35 ,
43,Parking in a commercial metered zone in which the meter is working and indicates that the time has ended. (Note: the difference is that 42 is Muni Meter and 43 is Meter),$65 ,$35 ,
44,Parking in a commercial metered zone for longer than the maximum time allowed.,$65 ,$35 ,
45,"Stopping, standing or parking in a traffic lane; or if a vehicle extends more than 8 feet from the nearest curb, blocking traffic.   ",$115 ,$115 ,
46,"Standing or parking on the roadway side of a vehicle stopped, standing or parked at the curb; in other words also known as ""double parking"". However, a person may stand a Commercial Vehicle alongside a vehicle parked at the curb at such locations and during such hours that stopping, standing and parking is allowed when quickly making pickups, deliveries or service calls. This is allowed if there is no parking space or marked loading zone on either side of the street within 100 feet. ""Double parking"" any type of vehicle is not allowed in Midtown Manhattan (the area from 14th Street to 60th Street, between First Avenue and Eighth Avenue inclusive). Midtown double parking is not allowed between 7:00am  – 7:00pm daily except Sundays. (See Code 47.)",$115 ,$115 ,
47,"Stopping, standing or parking a vehicle in Midtown Manhattan (the area from 14th Street to 60th Street, between First Avenue and Eighth Avenue) other than parallel or close to the curb.",$115 ,$115 ,
48,"Stopping, standing or parking within a marked bicycle lane.",$115 ,$115 ,
