Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
30544916,05/04/2015,05/06/2015,DSNY,A - Canine Task Force Citywide,Dirty Conditions,E8 Canine Violation,Sidewalk,10305,20 CLIFTON AVENUE,CLIFTON AVENUE,EDGEWATER STREET,WIMAN PLACE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,,05/06/2015,01 STATEN ISLAND,STATEN ISLAND,966302,163701,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.61597968,-74.06464713,"(40.615979679492824, -74.06464713318005)"
30544933,05/04/2015,05/05/2015,DOF,Department of Finance,DOF Literature Request,SCRIE - Application for Seniors Not Enrolled - English,,,,,,,,,,,,N/A,Closed,05/12/2015,"The literature has been mailed. If it has not been received, please request it again from 311.",05/05/2015,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
30546332,05/04/2015,05/06/2015,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10032,400 WEST  155 STREET,WEST  155 STREET,,,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",05/06/2015,09 MANHATTAN,MANHATTAN,1000714,241862,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.83051541,-73.9405069,"(40.83051541051173, -73.94050689878313)"
30001493,02/20/2015,02/23/2015,DOB,DOB Inspections - Queens,Construction,Initial - Construction,Street Address,11374,67-17 ALDERTON STREET,ALDERTON STREET,67 AVENUE,67 ROAD,,,ADDRESS,REGO PARK,,N/A,Closed,02/24/2015,The Department of Buildings contacted you and scheduled an inspection. See Notes to Customer for more details.,02/23/2015,06 QUEENS,QUEENS,1023371,200733,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71755595,-73.85887477,"(40.71755595038509, -73.85887476655682)"
30546353,05/04/2015,05/04/2015,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10040,34 ARDEN STREET,ARDEN STREET,,,,,ADDRESS,NEW YORK,,N/A,Closed,,,05/04/2015,12 MANHATTAN,MANHATTAN,1004402,253313,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.86193738,-73.9271458,"(40.86193738190631, -73.92714580413967)"
29381860,11/26/2014,12/09/2014,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint,Street,11102,18-31 27 AVENUE,27 AVENUE,18 STREET,21 STREET,,,ADDRESS,ASTORIA,,N/A,Closed,12/10/2014,The Taxi and Limousine Commission will contact you within 14 days to confirm your complaint details. Please note your Service Request number for future reference.,12/09/2014,01 QUEENS,QUEENS,1004504,220778,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77263775,-73.92687524,"(40.772637746503364, -73.92687523907338)"
30546365,05/04/2015,05/05/2015,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11226,410 EAST   17 STREET,EAST   17 STREET,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",05/05/2015,14 BROOKLYN,BROOKLYN,994672,172774,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.6408952,-73.96244685,"(40.64089520002904, -73.96244684891197)"
31365843,08/22/2015,08/22/2015,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11370,30-29 83 STREET,83 STREET,30 AVENUE,31 AVENUE,,,ADDRESS,EAST ELMHURST,,Precinct,Closed,08/22/2015,The Police Department issued a summons in response to the complaint.,08/22/2015,03 QUEENS,QUEENS,1016017,216412,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76062034,-73.88532954,"(40.760620340774274, -73.88532953701359)"
31865291,10/28/2015,10/28/2015,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10456,900 TINTON AVENUE,TINTON AVENUE,EAST 161 STREET,EAST 163 STREET,,,ADDRESS,BRONX,,Precinct,Closed,10/29/2015,The Police Department responded to the complaint and took action to fix the condition.,10/28/2015,03 BRONX,BRONX,1010946,238650,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.82167439,-73.9035461,"(40.82167438975687, -73.90354609937665)"
30546385,05/04/2015,05/18/2015,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11220,758 60 STREET,60 STREET,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",05/18/2015,07 BROOKLYN,BROOKLYN,981329,171013,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.63606728,-74.01052435,"(40.636067281289996, -74.01052435379107)"
