Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
19579781,01/11/2011 08:49:00 AM,01/24/2011 07:44:00 AM,DEP,Department of Environmental Protection,Water Quality,"Oil, Grease In Water (QD1)",,10453,10 RICHMOND PLZA,RICHMOND PLZA,DEAD END,HARLEM RIVER PARK BRIDGE,,,ADDRESS,BRONX,,N/A,Closed,,01/24/2011 07:44:00 AM,05 BRONX,BRONX,1005643,249618,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.85179279618346,-73.92267109339231,"(40.85179279618346, -73.92267109339231)"
19579800,01/11/2011 09:31:00 AM,01/12/2011 08:58:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chlorine (QA1)",,,308 4 ST,4 ST,,,,,ADDRESS,,,N/A,Closed,,01/12/2011 08:58:00 AM,Unspecified QUEENS,QUEENS,,,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,,,
19580149,01/11/2011 07:56:00 PM,03/04/2011 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chemical (QA2)",,10309,776 CORRELL AVE,CORRELL AVE,ASHLEY LANE,BLOOMINGDALE RD,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,03/04/2011 12:00:00 AM,03 STATEN ISLAND,STATEN ISLAND,923472,137972,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.54516860385061,-74.2186852902467,"(40.54516860385061, -74.2186852902467)"
19579926,01/11/2011 12:53:00 PM,02/16/2011 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chemical (QA2)",,10461,1770 MAHAN AVE,MAHAN AVE,ROBERTS AVE,BUHRE AVE,,,ADDRESS,BRONX,,N/A,Closed,,02/16/2011 12:00:00 AM,10 BRONX,BRONX,1031481,248048,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.84738320790192,-73.82928615388184,"(40.84738320790192, -73.82928615388184)"
19596699,01/13/2011 08:11:00 AM,03/04/2011 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chlorine (QA1)",,11211,50 DIVISION AVE,DIVISION AVE,WYTHE AVE,BERRY ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,03/04/2011 12:00:00 AM,01 BROOKLYN,BROOKLYN,993472,196891,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.707092265932474,-73.96673776023567,"(40.707092265932474, -73.96673776023567)"
19596873,01/13/2011 02:15:00 PM,02/20/2011 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,Other Water Problem (Use Comments) (QZZ),,11229,2135 E 19 ST,E 19 ST,AVENUE U,AVENUE V,,,ADDRESS,BROOKLYN,,N/A,Closed,,02/20/2011 12:00:00 AM,15 BROOKLYN,BROOKLYN,997458,157300,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.59841858047043,-73.9524384484633,"(40.59841858047043, -73.9524384484633)"
19596920,01/13/2011 04:41:00 PM,03/04/2011 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Sewer (QA5)",,11412,111-17 202 ST,202 ST,111 AVE,112 AVE,,,ADDRESS,SAINT ALBANS,,N/A,Closed,,03/04/2011 12:00:00 AM,12 QUEENS,QUEENS,1052307,195924,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.70418116359404,-73.7545399798628,"(40.70418116359404, -73.7545399798628)"
19596751,01/13/2011 10:35:00 AM,03/04/2011 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Chemical (QA2)",,10003,245 E 19 ST,E 19 ST,3 AVE,2 AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,03/04/2011 12:00:00 AM,06 MANHATTAN,MANHATTAN,988792,207359,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.73582803793631,-73.98361068703271,"(40.73582803793631, -73.98361068703271)"
19596914,01/13/2011 03:29:00 PM,01/14/2011 08:06:00 AM,DEP,Department of Environmental Protection,Water Quality,Other Water Problem (Use Comments) (QZZ),,10301,141 GRYMES HILL RD,GRYMES HILL RD,BERTHA PL,DEAD END,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,01/14/2011 08:06:00 AM,01 STATEN ISLAND,STATEN ISLAND,958411,166387,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.6233326880332,-74.09308009023893,"(40.6233326880332, -74.09308009023893)"
19610274,01/15/2011 01:00:00 PM,03/04/2011 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,11105,2145 23 ST,23 ST,21 RD,DITMARS BLVD,,,ADDRESS,ASTORIA,,N/A,Closed,,03/04/2011 12:00:00 AM,01 QUEENS,QUEENS,1007847,223672,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.780572719529424,-73.91479556222642,"(40.780572719529424, -73.91479556222642)"
19613659,01/16/2011 02:41:00 PM,01/18/2011 10:44:00 AM,DEP,Department of Environmental Protection,Water Quality,Other Water Problem (Use Comments) (QZZ),,11215,310 13 ST,13 ST,5 AVE,6 AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,01/18/2011 10:44:00 AM,06 BROOKLYN,BROOKLYN,987885,181947,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.666078468887555,-73.98689721376876,"(40.666078468887555, -73.98689721376876)"
19613919,01/16/2011 08:37:00 AM,01/18/2011 09:17:00 AM,DEP,Department of Environmental Protection,Water Quality,Other Water Problem (Use Comments) (QZZ),,11229,2157 OCEAN AVE,OCEAN AVE,KINGS HIGHWAY,QUENTIN RD,,,ADDRESS,BROOKLYN,,N/A,Closed,,01/18/2011 09:17:00 AM,15 BROOKLYN,BROOKLYN,997224,161264,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.609299297210434,-73.95327345998831,"(40.609299297210434, -73.95327345998831)"
19610212,01/15/2011 09:48:00 AM,02/16/2011 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,Other Water Problem (Use Comments) (QZZ),,10460,2035 MARMION AVE,MARMION AVE,E 179 ST,SOUTHERN BLVD,,,ADDRESS,BRONX,,N/A,Closed,,02/16/2011 12:00:00 AM,06 BRONX,BRONX,1015928,247104,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.84486170334697,-73.88550599505311,"(40.84486170334697, -73.88550599505311)"
19613928,01/16/2011 11:29:00 AM,01/18/2011 01:46:00 PM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Bitter/Metallic (QA3)",,10026,126 W 112 ST,W 112 ST,ST NICHOLAS AVE,7 AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,01/18/2011 01:46:00 PM,10 MANHATTAN,MANHATTAN,997291,230749,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.800019057280316,-73.9528975905994,"(40.800019057280316, -73.9528975905994)"
19619112,01/17/2011 12:18:00 PM,03/04/2011 12:00:00 AM,DEP,Department of Environmental Protection,Water Quality,Other Water Problem (Use Comments) (QZZ),,10029,1699 LEXINGTON AVE,LEXINGTON AVE,E 106 ST,E 107 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,03/04/2011 12:00:00 AM,11 MANHATTAN,MANHATTAN,999202,228049,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.79260526455614,-73.94600131838214,"(40.79260526455614, -73.94600131838214)"
19628373,01/18/2011 10:13:00 PM,01/28/2011 08:17:00 AM,DEP,Department of Environmental Protection,Water Quality,"Taste/Odor, Musty/Stale (QA4)",,11230,721 AVENUE M,AVENUE M,E 7 ST,E 8 ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,01/28/2011 08:17:00 AM,12 BROOKLYN,BROOKLYN,993293,164142,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.61720369664479,-73.96742730634917,"(40.61720369664479, -73.96742730634917)"
19637270,01/19/2011 06:43:00 PM,01/28/2011 08:16:00 AM,DEP,Department of Environmental Protection,Water Quality,Other Water Problem (Use Comments) (QZZ),,11432,159-18 HIGHLAND AVE,HIGHLAND AVE,PARSONS BLVD,BEND,,,ADDRESS,JAMAICA,,N/A,Closed,,01/28/2011 08:16:00 AM,08 QUEENS,QUEENS,1038951,197395,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.70831134563328,-73.80269870450499,"(40.70831134563328, -73.80269870450499)"
