FIPS,State,County,DIRSALES_FARMS07,PCT_LOCLFARM07,PCT_LOCLSALE07,DIRSALES07,PC_DIRSALES07,FMRKT09,FMRKT13,PCH_FMRKT_09_13,FMRKTPTH09,FMRKTPTH13,PCH_FMRKTPTH_09_13,FMRKT_SNAP13,PCT_FMRKT_SNAP13,FMRKT_WIC13,PCT_FMRKT_WIC13,FMRKT_WICCASH13,PCT_FMRKT_WICCASH13,FMRKT_SFMNP13,PCT_FMRKT_SFMNP13,FMRKT_FRVEG13,PCT_FRMKT_FRVEG13,FMRKT_ANMLPROD13,PCT_FRMKT_ANMLPROD13,FMRKT_OTHER13,PCT_FMRKT_OTHER13,VEG_FARMS07,VEG_ACRES07,VEG_ACRESPTH07,FRESHVEG_FARMS07,FRESHVEG_ACRES07,FRESHVEG_ACRESPTH07,ORCHARD_FARMS07,ORCHARD_ACRES07,ORCHARD_ACRESPTH07,BERRY_FARMS07,BERRY_ACRES07,BERRY_ACRESPTH07,SLHOUSE07,GHVEG_FARMS07,GHVEG_SQFT07,GHVEG_SQFTPTH07,FOODHUB12,CSA07,AGRITRSM_OPS07,AGRITRSM_RCT07,FARM_TO_SCHOOL
01023,AL,Choctaw,8,3,,,,1,1,0,0.071479628,0.073351427,2.618645933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,52,3.67,18,52,3.667654112,4,28,1.974890676,2,,,0,0,0,0,0,2,0,0,0
01025,AL,Clarke,19,5.9,,35,1.32,1,2,100,0.038399508,0.079488097,107.0029013,1,50,0,0,0,0,2,100,2,100,1,50,1,50,14,46,1.74,14,46,1.741368867,14,88,3.331314355,3,1,0.037855845,1,0,0,0,0,0,8,23000,0
01027,AL,Clay,20,4.6,0.1,31,2.25,1,2,100,0.073313783,0.148864905,103.0517306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,2,,,9,21,1.524832994,7,20,1.4522219,2,3,26000,1887.888469,0,1,1,,0
01029,AL,Cleburne,19,5,0,25,1.7,1,1,0,0.067755268,0.067421791,-0.492179072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,1.16,6,17,1.157092295,8,52,3.539341138,0,0,0,1,0,0,0,0,0,3,,0
01031,AL,Coffee,34,3.5,0,95,2.03,1,1,0,0.020561324,0.019511434,-5.106142199,0,0,0,0,0,0,1,100,1,100,1,100,1,100,18,126,2.7,18,126,2.691962569,46,314,6.70854164,4,8,0.170918258,1,0,0,0,0,9,4,8000,0
01033,AL,Colbert,37,5,0.2,68,1.25,3,3,0,0.054905836,0.055100467,0.354479668,1,33,1,33.33333333,1,33.33333333,1,33,1,33.33333333,1,33.33333333,1,33.33333333,30,61,1.12,30,,,20,38,0.695894224,6,2,0.036626012,0,1,,,0,7,10,17000,0
01035,AL,Conecuh,8,2,0.2,12,0.91,0,1,,0,0.077035668,,0,0,0,0,0,0,1,100,1,100,1,100,1,100,11,73,5.55,11,62,4.726330233,23,138,10.51989633,1,,,0,0,0,0,0,3,8,104000,0
01037,AL,Coosa,7,3.4,,12,1.11,0,0,0,0,0,0,,,,,,,,,,,,,,,6,12,1.11,6,12,1.11286284,3,,,3,8,0.74190856,0,0,0,0,0,0,7,,0
01039,AL,Covington,40,3.6,0.1,125,3.38,3,2,-33.33333333,0.0817929,0.05269398,-35.5763404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,40,1.08,16,38,1.032496468,77,1241,33.71916096,7,5,0.135854798,1,0,0,0,0,5,16,153000,0
01041,AL,Crenshaw,16,2.5,0,15,1.09,1,1,0,0.072563675,0.071007598,-2.144429454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,42,3.05,12,,,36,320,23.28797031,1,,,0,0,0,0,0,1,11,26000,0
01043,AL,Cullman,75,3,0.1,253,3.15,1,1,0,0.012228228,0.012431626,1.663351566,0,0,0,0,0,0,1,100,1,100,1,100,1,100,68,1329,16.53,68,,,17,128,1.588049924,17,31,0.384605841,1,2,,,0,5,9,27000,0
01045,AL,Dale,24,4.5,0,18,0.37,2,2,0,0.041539452,0.039647926,-4.553564349,0,0,0,0,0,0,1,50,1,50,1,50,1,50,11,58,1.2,11,58,1.201748752,46,493,10.21486439,5,7,0.145038642,0,0,0,0,0,1,11,29000,0
01047,AL,Dallas,22,4,0.1,44,1.02,1,1,0,0.023852117,0.023329601,-2.190649496,1,100,1,100,1,100,1,100,1,100,1,100,1,100,25,399,9.28,25,399,9.326788219,13,135,3.155680224,1,,,1,0,0,0,0,7,22,257000,0
01049,AL,DeKalb,78,3.2,0.1,265,3.91,2,3,50,0.028826751,0.042205965,46.41249297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1152,16.99,45,,,19,95,1.39143171,22,19,0.278286342,1,2,,,0,22,7,45000,0
01051,AL,Elmore,29,4.6,0.7,101,1.31,0,1,,0,0.012402485,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,182,2.35,19,,,27,435,5.615874204,9,14,0.180740779,0,1,,,0,5,4,,0
01053,AL,Escambia,17,3.4,0.1,29,0.77,3,3,0,0.080141048,0.078959836,-1.473916934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,43,1.14,14,,,20,349,9.276240598,9,46,1.222656354,0,0,0,0,0,3,6,43000,0
01055,AL,Etowah,49,4.9,0.1,55,0.53,2,3,50,0.019296638,0.028737834,48.92664189,0,0,0,0,0,0,2,67,2,66.66666667,1,33.33333333,2,66.66666667,28,513,4.98,28,513,4.970159665,23,66,0.639435746,13,6,0.058130522,6,0,0,0,0,0,2,,0
01057,AL,Fayette,17,4.2,0.1,18,1.02,1,1,0,0.05756721,0.058882412,2.284637579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,45,2.56,17,,,6,8,0.456152355,3,1,0.057019044,0,0,0,0,0,0,1,,0
01059,AL,Franklin,31,3.2,0,58,1.91,1,2,100,0.032163649,0.062970309,95.78098926,1,50,0,0,0,0,1,50,1,50,1,50,1,50,32,92,3.03,32,,,7,9,0.29385836,6,4,0.130603716,0,0,0,0,0,4,7,,0
01061,AL,Geneva,45,4.1,0.4,465,18.1,0,0,0,0,0,0,,,,,,,,,,,,,,,38,674,26.23,38,,,72,599,23.29198585,9,13,0.505502197,2,1,,,0,10,11,77000,0
01063,AL,Greene,20,6.3,0.7,168,18.25,2,2,0,0.22652622,0.225326724,-0.529517801,0,0,0,0,1,50,1,50,1,50,0,0,0,0,26,117,12.71,26,,,6,14,1.538461538,3,3,0.32967033,0,0,0,0,0,7,18,,0
01065,AL,Hale,16,3.3,0.1,42,2.32,0,1,,0,0.064985703,,0,0,0,0,0,0,0,0,1,100,1,100,1,100,18,46,2.54,18,46,2.54270079,10,34,1.879387541,1,,,1,0,0,0,0,0,9,149000,0
01067,AL,Henry,11,2.3,0.1,55,3.32,0,2,,0,0.115693874,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,140,8.44,9,140,8.406893653,23,333,19.99639705,9,19,1.140935567,0,0,0,0,0,4,6,27000,0
01069,AL,Houston,34,4,0.3,152,1.57,3,3,0,0.029974522,0.029012978,-3.20786832,0,0,0,0,0,0,3,100,3,100,1,33.33333333,3,100,38,4289,44.19,37,,,67,405,4.15845244,7,74,0.759816001,0,0,0,0,0,9,8,243000,0
01071,AL,Jackson,79,5.2,0.2,197,3.72,1,1,0,0.018925773,0.018861163,-0.34138705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,931,17.59,44,,,17,110,2.083491174,11,5,0.094704144,1,0,0,0,0,7,11,82000,0
01073,AL,Jefferson,42,8.9,,59,0.09,8,16,100,0.012029587,0.024242094,101.5205853,1,6,1,6.25,0,0,6,38,7,43.75,3,18.75,7,43.75,21,43,0.07,21,42,0.063494271,10,20,0.030235367,11,11,0.016629452,0,3,3000,4.535305082,1,5,0,0,0
01075,AL,Lamar,19,4.5,,68,4.7,0,1,,0,0.070131145,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,50,3.46,18,,,8,16,1.104667219,0,0,0,0,0,0,0,0,0,8,25000,0
01077,AL,Lauderdale,59,3.5,0.4,184,2.08,1,1,0,0.011160839,0.010805904,-3.180177649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,108,1.22,28,,,8,14,0.158152776,10,7,0.079076388,1,0,0,0,0,11,8,32000,0
01079,AL,Lawrence,46,2.9,0.1,101,2.95,2,1,-50,0.058640708,0.029552574,-49.60399551,1,100,1,100,0,0,1,100,1,100,1,100,1,100,25,79,2.31,23,,,25,67,1.961875201,3,,,2,0,0,0,0,10,3,11000,0
01081,AL,Lee,31,8.7,,232,1.78,3,4,33.33333333,0.022077817,0.027163395,23.03478499,1,25,1,25,1,25,1,25,2,50,3,75,3,75,11,17,0.13,11,,,20,238,1.819697074,7,17,0.129978362,0,3,9520,72.78788296,0,2,15,133000,0
01083,AL,Limestone,50,3.7,0.4,295,3.99,1,1,0,0.01272718,0.011408492,-10.36119287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,195,2.64,26,193,2.611319325,17,,,5,,,0,0,0,0,0,8,9,59000,0
01085,AL,Lowndes,19,4.7,0,16,1.26,1,1,0,0.081347108,0.092106475,13.22648982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,30,2.36,19,30,2.368919773,14,670,52.90587492,1,,,0,0,0,0,0,2,9,106000,0
01087,AL,Macon,33,8.6,0.6,78,3.5,1,1,0,0.045894718,0.048697346,6.106647188,0,0,0,0,0,0,1,100,1,100,1,100,1,100,22,71,3.18,22,,,36,509,22.86818223,12,8,0.359421332,0,0,0,0,0,3,12,,0
01089,AL,Madison,71,6,0.8,283,0.91,3,6,100,0.009153486,0.017488632,91.05981112,1,17,1,16.66666667,0,0,1,17,3,50,3,50,3,50,26,160,0.51,24,156,0.497138268,26,47,0.149778837,21,26,0.082856378,0,3,,,0,6,6,,0
01091,AL,Marengo,18,3.2,0.4,60,2.83,2,2,0,0.095497302,0.09803441,2.656732513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,100,4.71,25,,,17,61,2.868563367,0,0,0,1,0,0,0,0,6,7,28000,0
01093,AL,Marion,32,4.1,0.1,44,1.49,1,2,100,0.034345377,0.065947835,92.01371715,0,0,0,0,0,0,1,50,1,50,0,0,1,50,23,55,1.86,23,55,1.864343582,14,28,0.949120369,5,3,0.101691468,1,0,0,0,0,1,6,10000,0
01095,AL,Marshall,63,3.6,0.1,142,1.62,3,4,33.33333333,0.033186208,0.042204778,27.17565628,0,0,0,0,0,0,2,50,2,50,2,50,2,50,43,203,2.32,43,198,2.250767307,10,108,1.227691258,6,7,0.079572582,5,0,0,0,0,5,11,,0
01097,AL,Mobile,68,7.8,0.4,360,0.89,4,6,50,0.009715317,0.014494994,49.19733969,1,17,1,16.66666667,0,0,1,17,1,16.66666667,1,16.66666667,1,16.66666667,39,335,0.83,38,328,0.809408885,144,2334,5.759635174,27,45,0.111046951,2,0,0,0,1,3,9,,0
01099,AL,Monroe,30,5.9,0.3,62,2.73,2,2,0,0.089329581,0.088487744,-0.942394478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,83,3.66,26,,,27,413,18.14666725,9,6,0.26363197,0,0,0,0,0,2,7,16000,0
01101,AL,Montgomery,20,3.2,0.1,40,0.18,5,4,-20,0.022309577,0.017380045,-22.09603344,0,0,0,0,0,0,1,25,1,25,1,25,1,25,6,10,0.04,6,,,28,578,2.561511735,6,8,0.03545345,3,0,0,0,0,1,17,129000,0
01103,AL,Morgan,68,4.7,0.4,378,3.29,2,2,0,0.017051316,0.016611986,-2.576518958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,214,1.86,46,214,1.858477785,25,133,1.155035259,15,19,0.165005037,3,1,,,0,6,7,139000,0
01105,AL,Perry,15,3.8,0.2,41,3.82,2,2,0,0.188270733,0.196444357,4.341420293,0,0,1,50,0,0,1,50,1,50,0,0,0,0,26,119,11.08,25,111,10.34868544,17,204,19.01920567,0,0,0,0,0,0,0,0,0,15,426000,0
01107,AL,Pickens,21,4.2,0,18,0.92,2,2,0,0.104069102,0.10306622,-0.963669157,0,0,0,0,0,0,2,100,2,100,0,0,2,100,21,44,2.24,20,,,2,,,3,,,0,0,0,0,0,1,5,120000,0
01109,AL,Pike,32,4.5,0.2,170,5.63,0,1,,0,0.030136821,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,95,3.15,19,,,61,741,24.54780362,3,1,0.03312794,1,2,,,0,6,14,106000,0
01111,AL,Randolph,29,4.8,0.2,148,6.61,1,0,-100,0.044292864,0,-100,,,,,,,,,,,,,,,21,112,5,21,112,5.002456563,9,23,1.027290187,7,3,0.133994372,0,3,1855,82.85318683,0,4,2,,0
01113,AL,Russell,6,2,,,,1,1,0,0.01966723,0.017295054,-12.06157039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,5,,,17,204,4.061560515,0,0,0,1,0,0,0,0,0,9,145000,0
01115,AL,St. Clair,36,5.8,0.4,259,3.32,1,1,0,0.012210758,0.011731994,-3.920832502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,585,7.5,27,,,16,44,0.560402471,15,20,0.254728396,1,1,,,0,2,9,73000,0
01117,AL,Shelby,18,3.8,0.5,51,0.28,4,8,100,0.020778897,0.039812681,91.60151487,1,12,1,12.5,0,0,3,38,4,50,4,50,4,50,17,51,0.28,17,51,0.277962481,19,60,0.327014683,5,32,0.174407831,0,0,0,0,0,3,1,,0
01119,AL,Sumter,15,3.5,0.2,30,2.25,1,1,0,0.077802848,0.0744768,-4.274968347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,116,8.7,31,106,7.988544728,12,25,1.884090738,0,0,0,0,0,0,0,0,5,14,485000,0
01121,AL,Talladega,38,6.1,0.3,90,1.12,0,1,,0,0.012230621,,1,100,0,0,1,100,1,100,1,100,0,0,1,100,14,17,0.21,11,11,0.137181054,21,75,0.935325369,8,11,0.137181054,0,0,0,0,0,4,5,108000,0
01123,AL,Tallapoosa,21,5.6,0.8,56,1.37,1,3,200,0.024385486,0.072872134,198.8340459,0,0,0,0,0,0,2,67,2,66.66666667,1,33.33333333,2,66.66666667,10,15,0.37,10,,,13,104,2.54920705,10,57,1.397161556,1,0,0,0,0,1,3,,0
01125,AL,Tuscaloosa,54,8.8,1.1,277,1.56,2,3,50,0.010867498,0.015106044,39.00204435,2,67,2,66.66666667,1,33.33333333,3,100,3,100,3,100,3,100,46,109,0.62,45,105,0.586598733,10,8,0.044693237,17,6,0.033519928,2,1,,,0,4,5,43000,0
01127,AL,Walker,28,4.5,0.3,138,2.01,1,1,0,0.014547147,0.01510095,3.806949457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,456,6.64,21,456,6.641905178,5,3,0.043696745,9,6,0.087393489,0,0,0,0,0,3,6,10000,0
01129,AL,Washington,32,6.8,0.4,125,7.26,1,1,0,0.05858574,0.05844877,-0.233795079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,95,5.52,36,95,5.547769213,27,70,4.087829946,8,17,0.992758701,0,0,0,0,0,1,8,61000,0
01131,AL,Wilcox,13,3.5,0.1,9,0.71,3,3,0,0.242248062,0.262444231,8.336978392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,53,4.15,22,53,4.213036566,20,69,5.484896661,0,0,0,1,0,0,0,0,1,14,185000,0
01133,AL,Winston,19,3,0.1,43,1.78,1,1,0,0.041671876,0.041480007,-0.460428074,0,0,0,0,0,0,1,100,1,100,0,0,1,100,14,31,1.28,14,31,1.274356655,11,32,1.315464935,6,2,0.082216558,0,0,0,0,0,2,7,2000,0
02010,AK,Aleutian Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02013,AK,Aleutians East,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0
02016,AK,Aleutians West,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0
02020,AK,Anchorage,62,22.3,2.6,836,3.01,5,7,40,0.017471888,0.023441948,34.16951877,3,43,4,57.14285714,3,42.85714286,4,57,5,71.42857143,5,71.42857143,5,71.42857143,47,827,2.98,47,,,8,,,20,14,0.050268578,0,19,103205,370.5691839,0,6,10,,0
02050,AK,Bethel,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,0,0,0,0
02060,AK,Bristol Bay,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0
02068,AK,Denali,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0
02070,AK,Dillingham,,,,,,1,1,0,0.20173492,0.198649186,-1.529598729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,0,0,0,0,0
02090,AK,Fairbanks North Star,38,17.9,8,564,5.76,1,3,200,0.01013582,0.029918621,195.1771182,1,33,3,100,0,0,1,33,3,100,2,66.66666667,2,66.66666667,36,340,3.47,36,340,3.47108788,1,,,13,9,0.091881738,1,12,37132,379.0836328,0,11,8,,0
02100,AK,Haines,,,,,,1,1,0,0.41684035,0.39184953,-5.995297806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,0,0,0,0,0
02105,AK,Hoonah-Angoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02110,AK,Juneau,11,29.7,0.3,37,1.21,1,0,-100,0.03247175,0,-100,,,,,,,,,,,,,,,1,,,1,,,0,0,0,1,,,0,1,,,0,1,4,,0
02122,AK,Kenai Peninsula,27,21.8,,155,2.92,4,5,25,0.073172963,0.087873462,20.0900703,1,20,2,40,0,0,2,40,2,40,1,20,3,60,7,,,7,,,1,,,4,,,1,7,,,0,2,5,,0
02130,AK,Ketchikan Gateway,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0
02150,AK,Kodiak Island,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0
02164,AK,Lake and Peninsula,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0
02170,AK,Matanuska-Susitna,,,,,,5,7,40,0.056574526,0.074527549,31.73340431,0,0,1,14.28571429,1,14.28571429,1,14,2,28.57142857,2,28.57142857,3,42.85714286,,,,,,,,,,,,,0,,,,0,0,0,0,0
02180,AK,Nome,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0
02185,AK,North Slope,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0
02188,AK,Northwest Arctic,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0
02195,AK,Petersburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02198,AK,Prince of Wales-Hyder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02201,AK,Prince of Wales-Outer Ketchi,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0
02220,AK,Sitka,,,,,,1,1,0,0.114324911,0.110546098,-3.305328322,1,100,1,100,1,100,0,0,1,100,1,100,1,100,,,,,,,,,,,,,0,,,,0,0,0,0,0
02230,AK,Skagway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02231,AK,Skagway-Yakutat-Angoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02232,AK,Skagway-Hoonah-Angoon,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0
02240,AK,Southeast Fairbanks,,,,,,2,1,-50,0.290191526,0.139977604,-51.76371781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,0,0,0,0,0
02261,AK,Valdez-Cordova,,,,,,2,3,50,0.214500215,0.308737265,43.93331275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,0,0,0,0,0
02270,AK,Wade Hampton,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0
02275,AK,Wrangell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02280,AK,Wrangell-Petersburg,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0
02282,AK,Yakutat,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0
02290,AK,Yukon-Koyukuk,,,,,,1,2,100,0.17771459,0.346620451,95.04332756,1,50,1,50,1,50,1,50,0,0,1,50,1,50,,,,,,,,,,,,,0,,,,0,0,0,0,0
04001,AZ,Apache,137,3.2,1,122,1.75,1,1,0,0.014166112,0.013662135,-3.557620056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,3900,55.98,1100,3898,56.26605849,385,395,5.701665752,0,0,0,0,0,0,0,0,2,17,93000,0
04003,AZ,Cochise,93,8.7,1.1,1304,10.19,4,3,-25,0.030883738,0.022712131,-26.45925444,1,33,3,100,3,100,2,67,3,100,3,100,3,100,38,3253,25.43,32,,,136,6100,47.75474416,6,4,0.031314586,2,2,,,0,14,15,817000,0
04005,AZ,Coconino,66,4.1,,163,1.28,4,1,-75,0.030805012,0.007352347,-76.13262898,1,100,1,100,1,100,1,100,1,100,1,100,1,100,339,785,6.16,339,785,6.159229822,128,75,0.588461448,0,0,0,3,0,0,0,0,0,14,,1
04007,AZ,Gila,17,6.1,0.7,31,0.6,1,1,0,0.019157455,0.0188168,-1.778187566,0,0,1,100,1,100,1,100,1,100,1,100,1,100,8,17,0.33,8,17,0.325477207,12,65,1.244471674,3,,,0,0,0,0,0,1,1,,0
04009,AZ,Graham,21,6.1,,535,15.3,1,1,0,0.026994196,0.026726534,-0.991554415,0,0,1,100,1,100,0,0,1,100,1,100,1,100,9,,,8,23,0.662137264,36,,,0,0,0,0,1,,,0,3,4,,0
04011,AZ,Greenlee,5,3.9,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,1,,,1,,,9,43,5.541237113,0,0,0,0,0,0,0,0,0,1,,0
04012,AZ,La Paz,6,6.1,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,10,9921,493.8,7,,,2,,,0,0,0,0,0,0,0,0,1,0,0,0
04013,AZ,Maricopa,129,7.2,0.2,1549,0.4,30,33,10,0.007456877,0.008371026,12.25914465,12,36,13,39.39393939,14,42.42424242,13,39,19,57.57575758,19,57.57575758,19,57.57575758,32,17472,4.52,31,,,180,4080,1.053457276,4,2,0.000516401,6,1,,,1,9,9,,1
04015,AZ,Mohave,26,7.8,0.2,29,0.15,0,0,0,0,0,0,,,,,,,,,,,,,,,2,,,2,,,20,102,0.520801421,0,0,0,0,0,0,0,0,2,6,,0
04017,AZ,Navajo,137,4.6,0.3,152,1.37,2,3,50,0.017703032,0.028012774,58.23715614,0,0,1,33.33333333,1,33.33333333,1,33,1,33.33333333,1,33.33333333,1,33.33333333,908,2024,18.22,908,2024,18.23439851,278,363,3.270299732,3,,,2,1,,,0,3,8,35000,0
04019,AZ,Pima,45,7.2,0.5,312,0.31,15,21,40,0.014702999,0.02116095,43.92267587,7,33,7,33.33333333,10,47.61904762,6,29,11,52.38095238,11,52.38095238,11,52.38095238,11,83,0.08,11,83,0.083283748,18,,,3,,,0,4,8400,8.428716638,0,3,6,,0
