Security,BRL REGN Curncy                                                 
12/3/2015,3.7592
12/2/2015,3.8366
12/1/2015,3.85
11/30/2015,3.8685
11/27/2015,3.8467
11/26/2015,3.743
11/25/2015,3.745
11/24/2015,3.699
11/23/2015,3.7323
11/20/2015,3.708
11/19/2015,3.7177
11/18/2015,3.7648
11/17/2015,3.8138
11/16/2015,3.819
11/13/2015,3.8494
11/12/2015,3.771
11/11/2015,3.7609
11/10/2015,3.7476
11/9/2015,3.7993
11/6/2015,3.7692
11/5/2015,3.7802
11/4/2015,3.8009
11/3/2015,3.7694
10/30/2015,3.8568
10/29/2015,3.8489
10/28/2015,3.9048
10/27/2015,3.8884
10/26/2015,3.9067
10/23/2015,3.8771
10/22/2015,3.907
10/21/2015,3.9399
10/20/2015,3.9053
10/19/2015,3.8864
10/16/2015,3.9253
10/15/2015,3.7994
10/14/2015,3.8126
10/13/2015,3.8931
10/9/2015,3.7662
10/8/2015,3.784
10/7/2015,3.8857
10/6/2015,3.8548
10/5/2015,3.9115
10/2/2015,3.9325
10/1/2015,4.0098
9/30/2015,3.9471
9/29/2015,4.0608
9/28/2015,4.1106
9/25/2015,3.9765
9/24/2015,3.937
9/23/2015,4.179
9/22/2015,4.0504
9/21/2015,3.9851
9/18/2015,3.9446
9/17/2015,3.8986
9/16/2015,3.8286
9/15/2015,3.8625
9/14/2015,3.8156
9/11/2015,3.8735
9/10/2015,3.8499
9/9/2015,3.7792
9/8/2015,3.8203
9/4/2015,3.843
9/3/2015,3.7397
9/2/2015,3.7609
9/1/2015,3.6977
8/31/2015,3.6198
8/28/2015,3.5819
8/27/2015,3.5526
8/26/2015,3.5968
8/25/2015,3.6172
8/24/2015,3.5524
8/21/2015,3.4998
8/20/2015,3.4579
8/19/2015,3.4926
8/18/2015,3.4681
8/17/2015,3.481
8/14/2015,3.482
8/13/2015,3.5187
8/12/2015,3.4807
8/11/2015,3.4745
8/10/2015,3.4404
8/7/2015,3.5071
8/6/2015,3.5363
8/5/2015,3.4851
8/4/2015,3.4711
8/3/2015,3.4508
7/31/2015,3.4211
7/30/2015,3.3713
7/29/2015,3.3314
7/28/2015,3.3567
7/27/2015,3.3637
7/24/2015,3.3554
7/23/2015,3.2854
7/22/2015,3.2231
7/21/2015,3.1716
7/20/2015,3.1958
7/17/2015,3.1881
7/16/2015,3.1568
7/15/2015,3.1401
7/14/2015,3.1393
7/13/2015,3.1344
7/10/2015,3.1599
7/9/2015,3.213
7/8/2015,3.2353
7/7/2015,3.1863
7/6/2015,3.1376
7/3/2015,3.1341
7/2/2015,3.0967
7/1/2015,3.1492
6/30/2015,3.103
6/29/2015,3.1176
6/26/2015,3.1293
6/25/2015,3.1274
6/24/2015,3.0971
6/23/2015,3.0753
6/22/2015,3.0791
6/19/2015,3.0978
6/18/2015,3.0607
6/17/2015,3.0568
6/16/2015,3.0885
6/15/2015,3.1276
6/12/2015,3.1185
6/11/2015,3.0898
6/10/2015,3.1179
6/9/2015,3.0969
6/8/2015,3.1129
6/5/2015,3.1422
6/3/2015,3.1334
6/2/2015,3.1323
6/1/2015,3.1683
5/29/2015,3.1787
5/28/2015,3.1623
5/27/2015,3.1395
5/26/2015,3.1531
5/25/2015,3.0978
5/22/2015,3.0943
5/21/2015,3.0383
5/20/2015,3.0025
5/19/2015,3.039
5/18/2015,3.005
5/15/2015,2.9931
5/14/2015,2.9934
5/13/2015,3.0395
5/12/2015,3.0199
5/11/2015,3.0621
5/8/2015,2.9739
5/7/2015,3.0261
5/6/2015,3.0349
5/5/2015,3.0562
5/4/2015,3.087
4/30/2015,3.0144
4/29/2015,2.9608
4/28/2015,2.9367
4/27/2015,2.9169
4/24/2015,2.9512
4/23/2015,2.9706
4/22/2015,3.0111
4/20/2015,3.0328
4/17/2015,3.0408
4/16/2015,3.0205
4/15/2015,3.0287
4/14/2015,3.0634
4/13/2015,3.1212
4/10/2015,3.0753
4/9/2015,3.0578
4/8/2015,3.0491
4/7/2015,3.1274
4/6/2015,3.1262
4/2/2015,3.1223
4/1/2015,3.1657
3/31/2015,3.1974
3/30/2015,3.2293
3/27/2015,3.2499
3/26/2015,3.1825
3/25/2015,3.2012
3/24/2015,3.1396
3/23/2015,3.1324
3/20/2015,3.2308
3/19/2015,3.292
3/18/2015,3.2106
3/17/2015,3.2396
3/16/2015,3.2457
3/13/2015,3.2486
3/12/2015,3.1658
3/11/2015,3.1258
3/10/2015,3.1014
3/9/2015,3.1224
3/6/2015,3.0642
3/5/2015,3.0032
3/4/2015,2.9783
3/3/2015,2.9314
3/2/2015,2.895
2/27/2015,2.8389
2/26/2015,2.9064
2/25/2015,2.8691
2/24/2015,2.8286
2/23/2015,2.8787
2/20/2015,2.8689
2/19/2015,2.8668
2/18/2015,2.8393
2/13/2015,2.8342
2/12/2015,2.8234
2/11/2015,2.8681
2/10/2015,2.8323
2/9/2015,2.7706
2/6/2015,2.7817
2/5/2015,2.7454
2/4/2015,2.7416
2/3/2015,2.6951
2/2/2015,2.7272
1/30/2015,2.6836
1/29/2015,2.6039
1/28/2015,2.5765
1/27/2015,2.5728
1/26/2015,2.5837
1/23/2015,2.5799
1/22/2015,2.5744
1/21/2015,2.601
1/20/2015,2.6131
1/19/2015,2.6509
1/16/2015,2.6222
1/15/2015,2.6425
1/14/2015,2.6171
1/13/2015,2.6424
1/12/2015,2.6738
1/9/2015,2.6332
1/8/2015,2.6623
1/7/2015,2.6827
1/6/2015,2.7006
1/5/2015,2.7057
1/2/2015,2.6941
12/30/2014,2.6582
12/29/2014,2.7048
12/26/2014,2.6691
12/24/2014,2.6883
12/23/2014,2.6951
12/22/2014,2.6653
12/19/2014,2.6603
12/18/2014,2.6625
12/17/2014,2.7151
12/16/2014,2.7386
12/15/2014,2.6957
12/12/2014,2.655
12/11/2014,2.65
12/10/2014,2.6166
12/9/2014,2.5955
12/8/2014,2.6005
12/5/2014,2.5876
12/4/2014,2.5912
12/3/2014,2.5534
12/2/2014,2.5693
12/1/2014,2.5603
11/28/2014,2.5651
11/27/2014,2.5312
11/26/2014,2.5012
11/25/2014,2.5302
11/24/2014,2.5464
11/21/2014,2.5159
11/20/2014,2.572
11/19/2014,2.5708
11/18/2014,2.5827
11/17/2014,2.6088
11/14/2014,2.6015
11/13/2014,2.5887
11/12/2014,2.568
11/11/2014,2.5563
11/10/2014,2.5525
11/7/2014,2.5645
11/6/2014,2.5698
11/5/2014,2.5079
11/4/2014,2.4955
11/3/2014,2.4955
10/31/2014,2.4779
10/30/2014,2.404
10/29/2014,2.462
10/28/2014,2.4605
10/27/2014,2.5213
10/24/2014,2.4787
10/23/2014,2.5
10/22/2014,2.4872
10/21/2014,2.4823
10/20/2014,2.4649
10/17/2014,2.4354
10/16/2014,2.4728
10/15/2014,2.4525
10/14/2014,2.4003
10/13/2014,2.3943
10/10/2014,2.429
10/9/2014,2.3986
10/8/2014,2.3774
10/7/2014,2.3965
10/6/2014,2.4263
10/3/2014,2.459
10/2/2014,2.495
10/1/2014,2.481
9/30/2014,2.4461
9/29/2014,2.4477
9/26/2014,2.4203
9/25/2014,2.4283
9/24/2014,2.3835
9/23/2014,2.4126
9/22/2014,2.3978
9/19/2014,2.3679
9/18/2014,2.3647
9/17/2014,2.3565
9/16/2014,2.332
9/15/2014,2.3427
9/12/2014,2.3387
9/11/2014,2.2978
9/10/2014,2.2887
9/9/2014,2.2846
9/8/2014,2.2675
9/5/2014,2.2432
9/4/2014,2.2431
9/3/2014,2.235
9/2/2014,2.2435
9/1/2014,2.2461
8/29/2014,2.2362
8/28/2014,2.2421
8/27/2014,2.247
8/26/2014,2.2615
8/25/2014,2.2885
8/22/2014,2.2778
8/21/2014,2.2689
8/20/2014,2.262
8/19/2014,2.2467
8/18/2014,2.2574
8/15/2014,2.2599
8/14/2014,2.2665
8/13/2014,2.2817
8/12/2014,2.2766
8/11/2014,2.2754
8/8/2014,2.2834
8/7/2014,2.295
8/6/2014,2.2728
8/5/2014,2.2815
8/4/2014,2.259
8/1/2014,2.2573
7/31/2014,2.2638
7/30/2014,2.2456
7/29/2014,2.2315
7/28/2014,2.2225
7/25/2014,2.2303
7/24/2014,2.2223
7/23/2014,2.2194
7/22/2014,2.2129
7/21/2014,2.2209
7/18/2014,2.2269
7/17/2014,2.2582
7/16/2014,2.2237
7/15/2014,2.2191
7/14/2014,2.2107
7/11/2014,2.2208
7/10/2014,2.2214
7/9/2014,2.213
7/8/2014,2.212
7/7/2014,2.2257
7/4/2014,2.221
7/3/2014,2.2102
7/2/2014,2.2249
7/1/2014,2.2018
6/30/2014,2.2145
6/27/2014,2.1937
6/26/2014,2.1967
6/25/2014,2.2078
6/24/2014,2.2248
6/23/2014,2.221
6/20/2014,2.2301
6/18/2014,2.2278
6/17/2014,2.262
6/16/2014,2.2355
6/13/2014,2.2243
6/12/2014,2.236
6/11/2014,2.2336
6/10/2014,2.222
6/9/2014,2.2288
6/6/2014,2.2471
6/5/2014,2.2616
6/4/2014,2.2784
6/3/2014,2.2807
6/2/2014,2.2768
5/30/2014,2.2413
5/29/2014,2.2241
5/28/2014,2.2325
5/27/2014,2.2379
5/26/2014,2.2243
5/23/2014,2.2233
5/22/2014,2.221
5/21/2014,2.2072
5/20/2014,2.2158
5/19/2014,2.207
5/16/2014,2.2152
5/15/2014,2.2188
5/14/2014,2.2021
5/13/2014,2.2149
5/12/2014,2.2143
5/9/2014,2.2127
5/8/2014,2.2152
5/7/2014,2.2166
5/6/2014,2.2295
5/5/2014,2.2449
5/2/2014,2.222
4/30/2014,2.2327
4/29/2014,2.2363
4/28/2014,2.2234
4/25/2014,2.2441
4/24/2014,2.2141
4/23/2014,2.2219
4/22/2014,2.2377
4/17/2014,2.2362
4/16/2014,2.2434
4/15/2014,2.2325
4/14/2014,2.2136
4/11/2014,2.2186
4/10/2014,2.207
4/9/2014,2.1869
4/8/2014,2.2017
4/7/2014,2.2189
4/4/2014,2.2358
4/3/2014,2.2794
4/2/2014,2.2688
4/1/2014,2.2609
3/31/2014,2.272
3/28/2014,2.2614
3/27/2014,2.2588
3/26/2014,2.3028
3/25/2014,2.3113
3/24/2014,2.3229
3/21/2014,2.325
3/20/2014,2.3279
3/19/2014,2.3483
3/18/2014,2.334
3/17/2014,2.3491
3/14/2014,2.3467
3/13/2014,2.3637
3/12/2014,2.3556
3/11/2014,2.3639
3/10/2014,2.3506
3/7/2014,2.341
3/6/2014,2.3238
3/5/2014,2.3186
2/28/2014,2.3435
2/27/2014,2.3191
2/26/2014,2.3489
2/25/2014,2.3412
2/24/2014,2.3412
2/21/2014,2.3457
2/20/2014,2.37
2/19/2014,2.3938
2/18/2014,2.3959
2/17/2014,2.3901
2/14/2014,2.3889
2/13/2014,2.3937
2/12/2014,2.426
2/11/2014,2.4005
2/10/2014,2.4101
2/7/2014,2.3793
2/6/2014,2.3818
2/5/2014,2.4023
2/4/2014,2.4054
2/3/2014,2.4402
1/31/2014,2.4128
1/30/2014,2.4088
1/29/2014,2.4374
1/28/2014,2.4215
1/27/2014,2.4228
1/24/2014,2.3976
1/23/2014,2.3997
1/22/2014,2.3731
1/21/2014,2.3603
1/20/2014,2.3437
1/17/2014,2.3426
1/16/2014,2.3614
1/15/2014,2.3597
1/14/2014,2.3502
1/13/2014,2.3573
1/10/2014,2.3585
1/9/2014,2.3905
1/8/2014,2.3967
1/7/2014,2.3725
1/6/2014,2.3798
1/3/2014,2.3764
1/2/2014,2.3877
12/30/2013,2.3592
12/27/2013,2.3383
12/26/2013,2.3536
12/24/2013,2.3598
12/23/2013,2.3572
12/20/2013,2.3877
12/19/2013,2.3571
12/18/2013,2.3312
12/17/2013,2.319
12/16/2013,2.3287
12/13/2013,2.3299
12/12/2013,2.3344
12/11/2013,2.342
12/10/2013,2.3066
12/9/2013,2.3179
12/6/2013,2.3317
12/5/2013,2.3567
12/4/2013,2.3901
12/3/2013,2.3687
12/2/2013,2.3533
11/29/2013,2.3361
11/28/2013,2.3175
11/27/2013,2.3305
11/26/2013,2.2946
11/25/2013,2.2839
11/22/2013,2.2793
11/21/2013,2.305
11/20/2013,2.267
11/19/2013,2.271
11/18/2013,2.2641
11/14/2013,2.3144
11/13/2013,2.3347
11/12/2013,2.3324
11/11/2013,2.3313
11/8/2013,2.3127
11/7/2013,2.3062
11/6/2013,2.2885
11/5/2013,2.2891
11/4/2013,2.2463
11/1/2013,2.2532
10/31/2013,2.2399
10/30/2013,2.1902
10/29/2013,2.185
10/28/2013,2.1787
10/25/2013,2.1878
10/24/2013,2.2035
10/23/2013,2.1906
10/22/2013,2.1724
10/21/2013,2.1751
10/18/2013,2.1691
10/17/2013,2.1527
10/16/2013,2.1803
10/15/2013,2.178
10/14/2013,2.182
10/11/2013,2.1756
10/10/2013,2.1803
10/9/2013,2.2067
10/8/2013,2.2112
10/7/2013,2.2047
10/4/2013,2.2119
10/3/2013,2.2076
10/2/2013,2.1915
10/1/2013,2.2158
9/30/2013,2.2169
9/27/2013,2.2517
9/26/2013,2.2455
9/25/2013,2.2324
9/24/2013,2.2011
9/23/2013,2.1983
9/20/2013,2.2104
9/19/2013,2.2018
9/18/2013,2.1858
9/17/2013,2.2562
9/16/2013,2.2844
9/13/2013,2.2801
9/12/2013,2.2744
9/11/2013,2.2768
9/10/2013,2.2831
9/9/2013,2.276
9/6/2013,2.3065
9/5/2013,2.3246
9/4/2013,2.3599
9/3/2013,2.3589
9/2/2013,2.3773
8/30/2013,2.3855
8/29/2013,2.3593
8/28/2013,2.3459
8/27/2013,2.3721
8/26/2013,2.3788
8/23/2013,2.3488
8/22/2013,2.4361
8/21/2013,2.4549
8/20/2013,2.3934
8/19/2013,2.4127
8/16/2013,2.3924
8/15/2013,2.3406
8/14/2013,2.3247
8/13/2013,2.3147
8/12/2013,2.2878
8/9/2013,2.2716
8/8/2013,2.2846
8/7/2013,2.3139
8/6/2013,2.2992
8/5/2013,2.3061
8/2/2013,2.2874
8/1/2013,2.3044
7/31/2013,2.2765
7/30/2013,2.2832
7/29/2013,2.27
7/26/2013,2.2571
7/25/2013,2.2426
7/24/2013,2.251
7/23/2013,2.2137
7/22/2013,2.2327
7/19/2013,2.2469
7/18/2013,2.2275
7/17/2013,2.2259
7/16/2013,2.2537
7/15/2013,2.2201
7/12/2013,2.2674
7/11/2013,2.2548
7/10/2013,2.2645
7/9/2013,2.2601
7/8/2013,2.2638
7/5/2013,2.2537
7/4/2013,2.2491
7/3/2013,2.2692
7/2/2013,2.2548
7/1/2013,2.2294
6/28/2013,2.2322
6/27/2013,2.1989
6/26/2013,2.1867
6/25/2013,2.2137
6/24/2013,2.227
6/21/2013,2.2422
6/20/2013,2.2575
6/19/2013,2.2255
6/18/2013,2.1821
6/17/2013,2.1712
6/14/2013,2.1529
6/13/2013,2.1206
6/12/2013,2.1558
6/11/2013,2.1326
6/10/2013,2.1471
6/7/2013,2.132
6/6/2013,2.1298
6/5/2013,2.1295
6/4/2013,2.1251
6/3/2013,2.1244
5/31/2013,2.1386
5/29/2013,2.1105
5/28/2013,2.0749
5/27/2013,2.0571
5/24/2013,2.0517
5/23/2013,2.0437
5/22/2013,2.0495
5/21/2013,2.0395
5/20/2013,2.0399
5/17/2013,2.0351
5/16/2013,2.0268
5/15/2013,2.0222
5/14/2013,2.0208
5/13/2013,2.0077
5/10/2013,2.0204
5/9/2013,2.014
5/8/2013,2.0055
5/7/2013,2.0077
5/6/2013,2.0093
5/3/2013,2.0098
5/2/2013,2.0088
4/30/2013,2.0014
4/29/2013,2.0075
4/26/2013,1.9987
4/25/2013,2.0015
4/24/2013,2.0105
4/23/2013,2.0238
4/22/2013,2.021
4/19/2013,2.0111
4/18/2013,2.019
4/17/2013,2.0006
4/16/2013,1.9884
4/15/2013,2.0021
4/12/2013,1.9686
4/11/2013,1.9748
4/10/2013,1.9736
4/9/2013,1.9813
4/8/2013,1.9916
4/5/2013,1.9854
4/4/2013,2.0155
4/3/2013,2.0248
4/2/2013,2.019
4/1/2013,2.0211
3/28/2013,2.0219
3/27/2013,2.0109
3/26/2013,2.0169
3/25/2013,2.0131
3/22/2013,2.0079
3/21/2013,2.0078
3/20/2013,1.9898
3/19/2013,1.9849
3/18/2013,1.9829
3/15/2013,1.9828
3/14/2013,1.9717
3/13/2013,1.9718
3/12/2013,1.9646
3/11/2013,1.9564
3/8/2013,1.9439
3/7/2013,1.9584
3/6/2013,1.9703
3/5/2013,1.964
3/4/2013,1.9698
3/1/2013,1.98
2/28/2013,1.9775
2/27/2013,1.9729
2/26/2013,1.9822
2/25/2013,1.9835
2/22/2013,1.9726
2/21/2013,1.9728
2/20/2013,1.9621
2/19/2013,1.9554
2/18/2013,1.9633
2/15/2013,1.9693
2/14/2013,1.9573
2/13/2013,1.9646
2/8/2013,1.9718
2/7/2013,1.9667
2/6/2013,1.9913
2/5/2013,1.984
2/4/2013,1.9955
2/1/2013,1.988
1/31/2013,1.9916
1/30/2013,1.9893
1/29/2013,1.9857
1/28/2013,1.9955
1/25/2013,2.031
1/24/2013,2.0301
1/23/2013,2.0354
1/22/2013,2.0428
1/21/2013,2.0414
1/18/2013,2.0414
1/17/2013,2.0397
1/16/2013,2.0423
1/15/2013,2.0357
1/14/2013,2.0315
1/11/2013,2.0338
1/10/2013,2.0288
1/9/2013,2.0406
1/8/2013,2.0408
1/7/2013,2.0278
1/4/2013,2.0325
1/3/2013,2.0457
1/2/2013,2.0454
12/31/2012,2.0428
12/28/2012,2.0428
12/27/2012,2.0435
12/26/2012,2.0492
12/24/2012,2.08
12/21/2012,2.0792
12/20/2012,2.0695
12/19/2012,2.0716
12/18/2012,2.0889
12/17/2012,2.0995
12/14/2012,2.0861
12/13/2012,2.0856
12/12/2012,2.0719
12/11/2012,2.0786
12/10/2012,2.077
12/7/2012,2.075
12/6/2012,2.0771
12/5/2012,2.0879
12/4/2012,2.1199
12/3/2012,2.1233
11/30/2012,2.136
11/29/2012,2.0987
11/28/2012,2.0939
11/27/2012,2.0838
11/26/2012,2.0814
11/23/2012,2.0816
11/22/2012,2.1044
11/21/2012,2.0984
11/20/2012,2.081
11/19/2012,2.0789
11/16/2012,2.0847
11/14/2012,2.0666
11/13/2012,2.0584
11/12/2012,2.0509
11/9/2012,2.0464
11/8/2012,2.0405
11/7/2012,2.0345
11/6/2012,2.032
11/5/2012,2.0352
11/1/2012,2.03
10/31/2012,2.0299
10/30/2012,2.0305
10/29/2012,2.0321
10/26/2012,2.0265
10/25/2012,2.025
10/24/2012,2.0258
10/23/2012,2.0264
10/22/2012,2.0246
10/19/2012,2.027
10/18/2012,2.028
10/17/2012,2.0317
10/16/2012,2.0339
10/15/2012,2.032
10/11/2012,2.038
10/10/2012,2.0426
10/9/2012,2.0337
10/8/2012,2.0294
10/5/2012,2.0306
10/4/2012,2.019
10/3/2012,2.023
10/2/2012,2.0251
10/1/2012,2.0268
9/28/2012,2.0258
9/27/2012,2.0289
9/26/2012,2.036
9/25/2012,2.0314
9/24/2012,2.0265
9/21/2012,2.0225
9/20/2012,2.0214
9/19/2012,2.0237
9/18/2012,2.0234
9/17/2012,2.032
9/14/2012,2.0123
9/13/2012,2.0205
9/12/2012,2.0259
9/11/2012,2.0164
9/10/2012,2.0224
9/6/2012,2.0285
9/5/2012,2.0393
9/4/2012,2.0429
9/3/2012,2.033
8/31/2012,2.0297
8/30/2012,2.0486
8/29/2012,2.0501
8/28/2012,2.0428
8/27/2012,2.0341
8/24/2012,2.027
8/23/2012,2.0236
8/22/2012,2.0162
8/21/2012,2.016
8/20/2012,2.0168
8/17/2012,2.0155
8/16/2012,2.017
8/15/2012,2.0229
8/14/2012,2.0267
8/13/2012,2.0207
8/10/2012,2.0153
8/9/2012,2.0132
8/8/2012,2.0206
8/7/2012,2.0285
8/6/2012,2.0311
8/3/2012,2.0285
8/2/2012,2.0496
8/1/2012,2.0445
7/31/2012,2.0569
7/30/2012,2.0404
7/27/2012,2.0213
7/26/2012,2.0213
7/25/2012,2.0331
7/24/2012,2.0477
7/23/2012,2.0387
7/20/2012,2.0235
7/19/2012,2.0122
7/18/2012,2.023
7/17/2012,2.0219
7/16/2012,2.0349
7/13/2012,2.037
7/12/2012,2.0374
7/11/2012,2.0367
7/10/2012,2.0336
7/9/2012,2.0323
7/6/2012,2.0279
7/5/2012,2.0194
7/4/2012,2.0283
7/3/2012,2.0155
7/2/2012,1.9849
6/29/2012,2.0093
6/28/2012,2.0765
6/27/2012,2.0754
6/26/2012,2.0761
6/25/2012,2.062
6/22/2012,2.0657
6/21/2012,2.0563
6/20/2012,2.0258
6/19/2012,2.0281
6/18/2012,2.059
6/15/2012,2.0484
6/14/2012,2.0563
6/13/2012,2.0721
6/12/2012,2.0688
6/11/2012,2.0653
6/8/2012,2.0241
6/6/2012,2.0328
6/5/2012,2.0247
6/4/2012,2.0585
6/1/2012,2.0401
5/31/2012,2.0226
5/30/2012,2.016
5/29/2012,1.9926
5/28/2012,1.9832
5/25/2012,1.9845
5/24/2012,2.0284
5/23/2012,2.031
5/22/2012,2.0906
5/21/2012,2.0418
5/18/2012,2.0236
5/17/2012,2.009
5/16/2012,2.0009
5/15/2012,2.0017
5/14/2012,1.9959
5/11/2012,1.9668
5/10/2012,1.9532
5/9/2012,1.9697
5/8/2012,1.9403
5/7/2012,1.9195
5/4/2012,1.9276
5/3/2012,1.911
5/2/2012,1.924
4/30/2012,1.9073
4/27/2012,1.8878
4/26/2012,1.8854
4/25/2012,1.8797
4/24/2012,1.8788
4/23/2012,1.881
4/20/2012,1.8726
4/19/2012,1.8807
4/18/2012,1.8786
4/17/2012,1.861
4/16/2012,1.8473
4/13/2012,1.8376
4/12/2012,1.8271
4/11/2012,1.8358
4/10/2012,1.8335
4/9/2012,1.818
4/5/2012,1.8202
4/4/2012,1.8263
4/3/2012,1.8249
4/2/2012,1.8325
3/30/2012,1.8263
3/29/2012,1.8214
3/28/2012,1.8259
3/27/2012,1.8215
3/26/2012,1.8172
3/23/2012,1.81
3/22/2012,1.819
3/21/2012,1.818
3/20/2012,1.8143
3/19/2012,1.8209
3/16/2012,1.7997
3/15/2012,1.7982
3/14/2012,1.8047
3/13/2012,1.7925
3/12/2012,1.7968
3/9/2012,1.7914
3/8/2012,1.7606
3/7/2012,1.7661
3/6/2012,1.7582
3/5/2012,1.7394
3/2/2012,1.7305
3/1/2012,1.7136
2/29/2012,1.7177
2/28/2012,1.6958
2/27/2012,1.7069
2/24/2012,1.7098
2/23/2012,1.7138
2/22/2012,1.7058
2/17/2012,1.7138
2/16/2012,1.7165
2/15/2012,1.729
2/14/2012,1.7248
2/13/2012,1.7163
2/10/2012,1.7222
2/9/2012,1.716
2/8/2012,1.7217
2/7/2012,1.7258
2/6/2012,1.7258
2/3/2012,1.7179
2/2/2012,1.7187
2/1/2012,1.7343
1/31/2012,1.7471
1/30/2012,1.7491
1/27/2012,1.7355
1/26/2012,1.7497
1/25/2012,1.765
1/24/2012,1.7587
1/23/2012,1.755
1/20/2012,1.7552
1/19/2012,1.765
1/18/2012,1.767
1/17/2012,1.7875
1/16/2012,1.7863
1/13/2012,1.7864
1/12/2012,1.7789
1/11/2012,1.8021
1/10/2012,1.7996
1/9/2012,1.8329
1/6/2012,1.8569
1/5/2012,1.8433
1/4/2012,1.8327
1/3/2012,1.8308
1/2/2012,1.8767
12/29/2011,1.8663
12/28/2011,1.8731
12/27/2011,1.86
12/26/2011,1.8568
12/23/2011,1.8564
12/22/2011,1.8527
12/21/2011,1.8589
12/20/2011,1.8452
12/19/2011,1.8673
12/16/2011,1.8512
12/15/2011,1.8601
12/14/2011,1.8797
12/13/2011,1.8638
12/12/2011,1.844
12/9/2011,1.7982
12/8/2011,1.8244
12/7/2011,1.7996
12/6/2011,1.7912
12/5/2011,1.7861
12/2/2011,1.7907
12/1/2011,1.8002
11/30/2011,1.8085
11/29/2011,1.8454
11/28/2011,1.8616
11/25/2011,1.8918
11/24/2011,1.8982
11/23/2011,1.8659
11/22/2011,1.8186
11/21/2011,1.8071
11/18/2011,1.7865
11/17/2011,1.7795
11/16/2011,1.7701
11/14/2011,1.7675
11/11/2011,1.7429
11/10/2011,1.7615
11/9/2011,1.7793
11/8/2011,1.7327
11/7/2011,1.7475
11/4/2011,1.7517
11/3/2011,1.7368
11/1/2011,1.7446
10/31/2011,1.7173
10/28/2011,1.6721
10/27/2011,1.7098
10/26/2011,1.7587
10/25/2011,1.766
10/24/2011,1.7508
10/21/2011,1.7757
10/20/2011,1.7809
10/19/2011,1.7745
10/18/2011,1.7543
10/17/2011,1.7741
10/14/2011,1.7328
10/13/2011,1.751
10/11/2011,1.7757
10/10/2011,1.7632
10/7/2011,1.772
10/6/2011,1.781
10/5/2011,1.8325
10/4/2011,1.8581
10/3/2011,1.8909
9/30/2011,1.8792
9/29/2011,1.8403
9/28/2011,1.8408
9/27/2011,1.8057
9/26/2011,1.8242
9/23/2011,1.834
9/22/2011,1.905
9/21/2011,1.875
9/20/2011,1.7855
9/19/2011,1.7979
9/16/2011,1.7327
9/15/2011,1.7072
9/14/2011,1.7149
9/13/2011,1.7097
9/12/2011,1.7028
9/9/2011,1.6736
9/8/2011,1.6602
9/6/2011,1.657
9/5/2011,1.645
9/2/2011,1.6409
9/1/2011,1.6197
8/31/2011,1.5896
8/30/2011,1.5944
8/29/2011,1.5914
8/26/2011,1.6033
8/25/2011,1.6098
8/24/2011,1.6131
8/23/2011,1.5971
8/22/2011,1.6066
