idnumber	_id	ingredient	year
10032	5740cf35f0f8937b9e5f2eb2	1/2 cup shortening	1997
10032	5740cf35f0f8937b9e5f2eb3	1/2 cup butter, softened	1997
10032	5740cf35f0f8937b9e5f2eb4	3/4 cup packed brown sugar	1997
10032	5740cf35f0f8937b9e5f2eb5	3/4 cup white sugar	1997
10032	5740cf35f0f8937b9e5f2eb6	2 eggs	1997
10032	5740cf35f0f8937b9e5f2eb7	1 teaspoon vanilla extract	1997
10032	5740cf36f0f8937b9e5f2eb8	1 tablespoon coffee-flavored liqueur	1997
10032	5740cf36f0f8937b9e5f2eb9	2 cups all-purpose flour	1997
10032	5740cf36f0f8937b9e5f2eba	1 teaspoon baking soda	1997
10032	5740cf36f0f8937b9e5f2ebb	1 teaspoon salt	1997
10032	5740cf36f0f8937b9e5f2ebc	2 cups rolled oats	1997
10032	5740cf36f0f8937b9e5f2ebd	2 cups semisweet chocolate chips	1997
10032	5740cf36f0f8937b9e5f2ebe	1 cup chopped walnuts	1997
10044	5740cf55f0f8937b9e5f2ec0	2/3 cup butter	1997
10044	5740cf55f0f8937b9e5f2ec1	1 teaspoon almond extract	1997
10044	5740cf55f0f8937b9e5f2ec2	1 cup packed brown sugar	1997
10044	5740cf55f0f8937b9e5f2ec3	2 eggs	1997
10044	5740cf55f0f8937b9e5f2ec4	1 2/3 cups all-purpose flour	1997
10044	5740cf55f0f8937b9e5f2ec5	1 1/2 teaspoons baking powder	1997
10044	5740cf55f0f8937b9e5f2ec6	1/2 teaspoon salt	1997
10044	5740cf55f0f8937b9e5f2ec7	1/2 cup finely chopped blanched almonds	1997
10044	5740cf55f0f8937b9e5f2ec8	1/2 teaspoon ground cinnamon	1997
10044	5740cf55f0f8937b9e5f2ec9	2 teaspoons red decorator sugar	1997
10044	5740cf55f0f8937b9e5f2eca	2 teaspoons green decorator sugar	1997
10032	5740d031f0f8937bbc1f4c6c	1/2 cup shortening	1997
10032	5740d031f0f8937bbc1f4c6d	1/2 cup butter, softened	1997
10032	5740d031f0f8937bbc1f4c6e	3/4 cup packed brown sugar	1997
10032	5740d031f0f8937bbc1f4c6f	3/4 cup white sugar	1997
10032	5740d031f0f8937bbc1f4c70	2 eggs	1997
10032	5740d031f0f8937bbc1f4c71	1 teaspoon vanilla extract	1997
10032	5740d031f0f8937bbc1f4c72	1 tablespoon coffee-flavored liqueur	1997
10032	5740d031f0f8937bbc1f4c73	2 cups all-purpose flour	1997
10032	5740d031f0f8937bbc1f4c74	1 teaspoon baking soda	1997
10032	5740d031f0f8937bbc1f4c75	1 teaspoon salt	1997
10032	5740d031f0f8937bbc1f4c76	2 cups rolled oats	1997
10032	5740d031f0f8937bbc1f4c77	2 cups semisweet chocolate chips	1997
10032	5740d031f0f8937bbc1f4c78	1 cup chopped walnuts	1997
10044	5740d042f0f8937bbc1f4c7a	2/3 cup butter	1997
10044	5740d042f0f8937bbc1f4c7b	1 teaspoon almond extract	1997
10044	5740d042f0f8937bbc1f4c7c	1 cup packed brown sugar	1997
10044	5740d042f0f8937bbc1f4c7d	2 eggs	1997
10044	5740d042f0f8937bbc1f4c7e	1 2/3 cups all-purpose flour	1997
10044	5740d042f0f8937bbc1f4c7f	1 1/2 teaspoons baking powder	1997
10044	5740d042f0f8937bbc1f4c80	1/2 teaspoon salt	1997
10044	5740d042f0f8937bbc1f4c81	1/2 cup finely chopped blanched almonds	1997
10044	5740d042f0f8937bbc1f4c82	1/2 teaspoon ground cinnamon	1997
10044	5740d042f0f8937bbc1f4c83	2 teaspoons red decorator sugar	1997
10044	5740d042f0f8937bbc1f4c84	2 teaspoons green decorator sugar	1997
10141	5740d053f0f8937bbc1f4c86	1/2 cup butter	1997
10141	5740d053f0f8937bbc1f4c87	1/2 cup white sugar	1997
10141	5740d053f0f8937bbc1f4c88	1/3 cup packed brown sugar	1997
10141	5740d053f0f8937bbc1f4c89	1/2 cup peanut butter	1997
10141	5740d053f0f8937bbc1f4c8a	1/2 teaspoon vanilla extract	1997
